Medicine name,EML section,Formulations,Indication,ATC codes,Combined with,Status,clean_name,match_aliases
methotrexate,Cytotoxic medicines,"Parenteral > General injections > IV: 50 mg in vial (as sodium salt)
Oral > Solid: 2.5 mg (as sodium salt)
Parenteral > General injections > IV: 50 mg in vial (as sodium salt); 50 mg per 2 mL; 1000 mg per 10 mL concentrated injection",Osteosarcoma of bone and articular cartilage of unspecified sites,L01BA01,,Added,methotrexate,['methotrexate']
methotrexate,Cytotoxic medicines,"Parenteral > General injections > IV: 50 mg in vial (as sodium salt)
Oral > Solid: 2.5 mg (as sodium salt)
Parenteral > General injections > IV: 50 mg in vial (as sodium salt); 50 mg per 2 mL; 1000 mg per 10 mL concentrated injection","Anaplastic large cell lymphoma, ALK-negative",L01BA01,,Added,methotrexate,['methotrexate']
methotrexate,Cytotoxic medicines,"Parenteral > General injections > IV: 50 mg in vial (as sodium salt)
Oral > Solid: 2.5 mg (as sodium salt)
Parenteral > General injections > IV: 50 mg in vial (as sodium salt); 50 mg per 2 mL; 1000 mg per 10 mL concentrated injection","Anaplastic large cell lymphoma, ALK-positive",L01BA01,,Added,methotrexate,['methotrexate']
methotrexate,Cytotoxic medicines,"Parenteral > General injections > IV: 50 mg in vial (as sodium salt)
Oral > Solid: 2.5 mg (as sodium salt)
Parenteral > General injections > IV: 50 mg in vial (as sodium salt); 50 mg per 2 mL; 1000 mg per 10 mL concentrated injection",Langerhans cell histiocytosis,L01BA01,,Added,methotrexate,['methotrexate']
methotrexate,Dermatological medicines > Medicines affecting skin differentiation and proliferation,Oral > Solid > tablet: 2.5 mg (as sodium salt); 10 mg (as sodium salt),Psoriasis of unspecified type,L04AX03,,Added,methotrexate,['methotrexate']
methotrexate,Disease-modifying anti-rheumatic drugs (DMARDs),Oral > Solid > tablet: 2.5 mg (as sodium salt),"Rheumatoid arthritis, serology unspecified",L04AX03,,Added,methotrexate,['methotrexate']
methotrexate,Medicines for juvenile joint diseases,Oral > Solid > tablet: 2.5 mg (as sodium salt),Juvenile idiopathic arthritis,L04AX03,,Added,methotrexate,['methotrexate']
methoxy polyethylene glycol-epoetin beta,Antianaemia medicines,,Anaemia due to chronic disease,,,Added,methoxy polyethylene glycol-epoetin beta,"['methoxy', 'polyethylene', 'glycol-epoetin', 'methoxy polyethylene glycol-epoetin beta', 'beta']"
methyldopa,Antihypertensive medicines,Oral > Solid: 250 mg,Gestational hypertension,C02AB01,,Added,methyldopa,['methyldopa']
methylergometrine,Uterotonics,,Postpartum haemorrhage,,,Added,methylergometrine,['methylergometrine']
methylprednisolone,Hormones and antihormones,Parenteral > General injections > IV: 40 mg per  mL in 1 mL single-dose vial (as sodium succinate); 40 mg per  mL in 5 mL multi-dose vial (as sodium succinate); 80 mg per  mL in 1 mL single-dose vial (as sodium succinate),"Lymphoid leukaemia, not elsewhere classified",H02AB04,,Added,methylprednisolone,['methylprednisolone']
methylprednisolone,Hormones and antihormones,Parenteral > General injections > IV: 40 mg per  mL in 1 mL single-dose vial (as sodium succinate); 40 mg per  mL in 5 mL multi-dose vial (as sodium succinate); 80 mg per  mL in 1 mL single-dose vial (as sodium succinate),Burkitt lymphoma including Burkitt leukaemia,H02AB04,,Added,methylprednisolone,['methylprednisolone']
methylthioninium chloride,Antidotes and other substances used in poisonings > Specific,Parenteral > General injections > IV: 10 mg per  mL in 10 mL ampoule,Acquired methaemoglobinaemia,V03AB17,,Added,methylthioninium chloride,"['chloride', 'methylthioninium', 'methylthioninium chloride']"
metoclopramide,Medicines for other common symptoms in palliative care,"Oral > Liquid: 5 mg per 5 mL
Oral > Solid: 10 mg (hydrochloride)
Parenteral > General injections > unspecified: 5 mg per  mL in 2 mL ampoule (hydrochloride)",Palliative care,A03FA01,,Added,metoclopramide,['metoclopramide']
metoclopramide,Antiemetic medicines,"Oral > Liquid: 5 mg per 5 mL
Oral > Solid: 10 mg (hydrochloride)
Parenteral > General injections > unspecified: 5 mg per  mL in 2 mL ampoule (hydrochloride)",Nausea or vomiting,A03FA01,,Added,metoclopramide,['metoclopramide']
metoprolol,Antianginal medicines,,Angina pectoris,,,Added,metoprolol,['metoprolol']
metoprolol,Medicines used in heart failure,,Heart failure,,,Added,metoprolol,['metoprolol']
metoprolol,Antihypertensive medicines,,Essential hypertension,,,Added,metoprolol,['metoprolol']
metoprolol,Antiarrhythmic medicines,,Cardiac arrhythmia,,,Added,metoprolol,['metoprolol']
metronidazole,Access group antibiotics,"Oral > Liquid: 200 mg per 5 mL (as benzoate)
Oral > Solid: 200 to 500 mg tablet
Parenteral > General injections > unspecified: 500 mg per 100 mL in vial Injection
Local > Rectal > Suppository: 500 mg; 1 g
Parenteral > General injections > unspecified: 500 mg per 100 mL in vial
Oral > Solid > tablet: 200 mg; 250 mg; 400 mg; 500 mg",Peritoneal abscess (mild-moderate),A01AB17,cefotaxime,Added,metronidazole,['metronidazole']
metronidazole,Access group antibiotics,"Oral > Liquid: 200 mg per 5 mL (as benzoate)
Oral > Solid: 200 to 500 mg tablet
Parenteral > General injections > unspecified: 500 mg per 100 mL in vial Injection
Local > Rectal > Suppository: 500 mg; 1 g
Parenteral > General injections > unspecified: 500 mg per 100 mL in vial
Oral > Solid > tablet: 200 mg; 250 mg; 400 mg; 500 mg",Peritoneal abscess (severe),A01AB17,cefotaxime,Added,metronidazole,['metronidazole']
metronidazole,Access group antibiotics,"Oral > Liquid: 200 mg per 5 mL (as benzoate)
Oral > Solid: 200 to 500 mg tablet
Parenteral > General injections > unspecified: 500 mg per 100 mL in vial Injection
Local > Rectal > Suppository: 500 mg; 1 g
Parenteral > General injections > unspecified: 500 mg per 100 mL in vial
Oral > Solid > tablet: 200 mg; 250 mg; 400 mg; 500 mg",Peritoneal abscess (mild-moderate),A01AB17,ceftriaxone,Added,metronidazole,['metronidazole']
metronidazole,Access group antibiotics,"Oral > Liquid: 200 mg per 5 mL (as benzoate)
Oral > Solid: 200 to 500 mg tablet
Parenteral > General injections > unspecified: 500 mg per 100 mL in vial Injection
Local > Rectal > Suppository: 500 mg; 1 g
Parenteral > General injections > unspecified: 500 mg per 100 mL in vial
Oral > Solid > tablet: 200 mg; 250 mg; 400 mg; 500 mg",Peritoneal abscess (severe),A01AB17,ceftriaxone,Added,metronidazole,['metronidazole']
metronidazole,Access group antibiotics,"Oral > Liquid: 200 mg per 5 mL (as benzoate)
Oral > Solid: 200 to 500 mg tablet
Parenteral > General injections > unspecified: 500 mg per 100 mL in vial Injection
Local > Rectal > Suppository: 500 mg; 1 g
Parenteral > General injections > unspecified: 500 mg per 100 mL in vial
Oral > Solid > tablet: 200 mg; 250 mg; 400 mg; 500 mg",Peritonitis (mild-moderate),A01AB17,ceftriaxone,Added,metronidazole,['metronidazole']
metronidazole,Access group antibiotics,"Oral > Liquid: 200 mg per 5 mL (as benzoate)
Oral > Solid: 200 to 500 mg tablet
Parenteral > General injections > unspecified: 500 mg per 100 mL in vial Injection
Local > Rectal > Suppository: 500 mg; 1 g
Parenteral > General injections > unspecified: 500 mg per 100 mL in vial
Oral > Solid > tablet: 200 mg; 250 mg; 400 mg; 500 mg",Peritonitis (severe),A01AB17,ceftriaxone,Added,metronidazole,['metronidazole']
metronidazole,Access group antibiotics,"Oral > Liquid: 200 mg per 5 mL (as benzoate)
Oral > Solid: 200 to 500 mg tablet
Parenteral > General injections > unspecified: 500 mg per 100 mL in vial Injection
Local > Rectal > Suppository: 500 mg; 1 g
Parenteral > General injections > unspecified: 500 mg per 100 mL in vial
Oral > Solid > tablet: 200 mg; 250 mg; 400 mg; 500 mg",Peritonitis (mild-moderate),A01AB17,cefotaxime,Added,metronidazole,['metronidazole']
metronidazole,Access group antibiotics,"Oral > Liquid: 200 mg per 5 mL (as benzoate)
Oral > Solid: 200 to 500 mg tablet
Parenteral > General injections > unspecified: 500 mg per 100 mL in vial Injection
Local > Rectal > Suppository: 500 mg; 1 g
Parenteral > General injections > unspecified: 500 mg per 100 mL in vial
Oral > Solid > tablet: 200 mg; 250 mg; 400 mg; 500 mg",Peritonitis (severe),A01AB17,cefotaxime,Added,metronidazole,['metronidazole']
metronidazole,Access group antibiotics,"Oral > Liquid: 200 mg per 5 mL (as benzoate)
Oral > Solid: 200 to 500 mg tablet
Parenteral > General injections > unspecified: 500 mg per 100 mL in vial Injection
Local > Rectal > Suppository: 500 mg; 1 g
Parenteral > General injections > unspecified: 500 mg per 100 mL in vial
Oral > Solid > tablet: 200 mg; 250 mg; 400 mg; 500 mg",Intestinal infections due to Clostridioides difficile,A01AB17,,Added,metronidazole,['metronidazole']
metronidazole,Access group antibiotics,"Oral > Liquid: 200 mg per 5 mL (as benzoate)
Oral > Solid: 200 to 500 mg tablet
Parenteral > General injections > unspecified: 500 mg per 100 mL in vial Injection
Local > Rectal > Suppository: 500 mg; 1 g
Parenteral > General injections > unspecified: 500 mg per 100 mL in vial
Oral > Solid > tablet: 200 mg; 250 mg; 400 mg; 500 mg",Other specified prophylactic measures,A01AB17,cefazolin,Added,metronidazole,['metronidazole']
metronidazole,Access group antibiotics,"Oral > Liquid: 200 mg per 5 mL (as benzoate)
Oral > Solid: 200 to 500 mg tablet
Parenteral > General injections > unspecified: 500 mg per 100 mL in vial Injection
Local > Rectal > Suppository: 500 mg; 1 g
Parenteral > General injections > unspecified: 500 mg per 100 mL in vial
Oral > Solid > tablet: 200 mg; 250 mg; 400 mg; 500 mg",Trichomoniasis,P01AB01,,Added,metronidazole,['metronidazole']
metronidazole,Access group antibiotics,"Oral > Liquid: 200 mg per 5 mL (as benzoate)
Oral > Solid: 200 to 500 mg tablet
Parenteral > General injections > unspecified: 500 mg per 100 mL in vial Injection
Local > Rectal > Suppository: 500 mg; 1 g
Parenteral > General injections > unspecified: 500 mg per 100 mL in vial
Oral > Solid > tablet: 200 mg; 250 mg; 400 mg; 500 mg",Necrotising fasciitis,"J01XD01, A01AB17",ceftriaxone,Added,metronidazole,['metronidazole']
metronidazole,Access group antibiotics,"Oral > Liquid: 200 mg per 5 mL (as benzoate)
Oral > Solid: 200 to 500 mg tablet
Parenteral > General injections > unspecified: 500 mg per 100 mL in vial Injection
Local > Rectal > Suppository: 500 mg; 1 g
Parenteral > General injections > unspecified: 500 mg per 100 mL in vial
Oral > Solid > tablet: 200 mg; 250 mg; 400 mg; 500 mg",Peritoneal abscess (mild-moderate),A01AB17,ciprofloxacin,Added,metronidazole,['metronidazole']
metronidazole,Access group antibiotics,"Oral > Liquid: 200 mg per 5 mL (as benzoate)
Oral > Solid: 200 to 500 mg tablet
Parenteral > General injections > unspecified: 500 mg per 100 mL in vial Injection
Local > Rectal > Suppository: 500 mg; 1 g
Parenteral > General injections > unspecified: 500 mg per 100 mL in vial
Oral > Solid > tablet: 200 mg; 250 mg; 400 mg; 500 mg",Peritonitis (mild-moderate),A01AB17,ciprofloxacin,Added,metronidazole,['metronidazole']
metronidazole,Antiamoebic and antigiardiasis medicines,"Oral > Liquid: 200 mg per 5 mL (as benzoate)
Parenteral > General injections > unspecified: 500 mg in 100 mL vial
Oral > Solid > tablet: 200 mg; 250 mg; 400 mg; 500 mg",Amoebiasis,P01AB01,,Added,metronidazole,['metronidazole']
micafungin,Antifungal medicines,Parenteral > General injections > IV: 50 mg in vial (as sodium) powder for injection; 100 mg in vial (as sodium) powder for injection,Systemic or invasive candidosis,J02AX05,,Added,micafungin,['micafungin']
miconazole,Dermatological medicines > Antifungal medicines,"Local > Topical > Cream: 2% (nitrate)
Local > Topical > Ointment: 2% (nitrate)",Fungal infection of the skin,D01AC02,,Added,miconazole,['miconazole']
midazolam,Antiseizure medicines,"
Parenteral > General injections > unspecified: 1 mg per  mL in 5 mL vial (for buccal administration); 5 mg per  mL in 1 mL vial (for buccal administration); 5 mg per  mL in 3 mL vial (for buccal administration)
Local > Buccal > Solution: 5 mg per  mL in 0.5 mL pre-filled syringe (for oromucosal administration); 5 mg per  mL in 1 mL pre-filled syringe (for oromucosal administration); 5 mg per  mL in 1.5 mL pre-filled syringe (for oromucosal administration); 5 mg per  mL in 2 mL pre-filled syringe (for oromucosal administration); 10 mg per  mL in 0.25 mL pre-filled syringe (for oromucosal administration); 10 mg per  mL in 0.5 mL pre-filled syringe (for oromucosal administration); 10 mg per  mL in 0.75 mL pre-filled syringe; 10 mg per  mL in 1 mL pre-filled syringe (for oromucosal administration)",Status epilepticus,,,Added,midazolam,['midazolam']
midazolam,Antiseizure medicines,"
Parenteral > General injections > unspecified: 1 mg per  mL in 5 mL vial (for buccal administration); 5 mg per  mL in 1 mL vial (for buccal administration); 5 mg per  mL in 3 mL vial (for buccal administration)
Local > Buccal > Solution: 5 mg per  mL in 0.5 mL pre-filled syringe (for oromucosal administration); 5 mg per  mL in 1 mL pre-filled syringe (for oromucosal administration); 5 mg per  mL in 1.5 mL pre-filled syringe (for oromucosal administration); 5 mg per  mL in 2 mL pre-filled syringe (for oromucosal administration); 10 mg per  mL in 0.25 mL pre-filled syringe (for oromucosal administration); 10 mg per  mL in 0.5 mL pre-filled syringe (for oromucosal administration); 10 mg per  mL in 0.75 mL pre-filled syringe; 10 mg per  mL in 1 mL pre-filled syringe (for oromucosal administration)",Status epilepticus,N05CD08,,Added,midazolam,['midazolam']
midazolam,Preoperative medication and sedation for short-term procedures,"Parenteral > General injections > IV: 1 mg per  mL
Oral > Liquid: 2 mg per  mL
Oral > Solid > dosage form: 15 mg; 7.5 mg",Sedative-hypnotic and anxiolytic drugs,N05CD08,,Added,midazolam,['midazolam']
midazolam,Medicines for other common symptoms in palliative care,"Oral > Liquid: 2 mg per  mL
Parenteral > General injections > unspecified: 1 mg per  mL; 5 mg per  mL
Oral > Solid > dosage form: 7.5 mg; 15 mg",Palliative care,N05CD08,,Added,midazolam,['midazolam']
mifepristone - misoprostol,Uterotonics,Oral > Solid: 200 mg + 200 µg; 200 mg [1] + 200 µg [4] in co-package,Induced abortion,G03XB51,,Added,mifepristone - misoprostol,"['misoprostol', 'mifepristone - misoprostol', 'mifepristone', '-']"
mifepristone - misoprostol,Uterotonics,Oral > Solid: 200 mg + 200 µg; 200 mg [1] + 200 µg [4] in co-package,"Unspecified time of fetal death, cause not specified",G03XB51,,Added,mifepristone - misoprostol,"['misoprostol', 'mifepristone - misoprostol', 'mifepristone', '-']"
miltefosine,Antileishmaniasis medicines,Oral > Solid: 10 mg; 50 mg,Visceral leishmaniasis,P01CX04,,Added,miltefosine,['miltefosine']
miltefosine,Antileishmaniasis medicines,Oral > Solid: 10 mg; 50 mg,Mucocutaneous leishmaniasis,P01CX04,,Added,miltefosine,['miltefosine']
miltefosine,Antileishmaniasis medicines,Oral > Solid: 10 mg; 50 mg,Cutaneous leishmaniasis,P01CX04,,Added,miltefosine,['miltefosine']
misoprostol,Uterotonics,"Oral > Solid: 200 µg
Local > Vaginal > tablet: 25 µg","Spontaneous abortion, incomplete, without complication",G02AD06,,Added,misoprostol,['misoprostol']
misoprostol,Uterotonics,"Oral > Solid: 200 µg
Local > Vaginal > tablet: 25 µg",Unspecified obstetric condition,G02AD06,,Added,misoprostol,['misoprostol']
misoprostol,Uterotonics,"Oral > Solid: 200 µg
Local > Vaginal > tablet: 25 µg",Postpartum haemorrhage,G02AD06,,Added,misoprostol,['misoprostol']
mometasone,Antiasthmatic and medicines for chronic obstructive pulmonary disease,,Asthma,,,Added,mometasone,['mometasone']
mometasone + formoterol,Antiasthmatic and medicines for chronic obstructive pulmonary disease,,Asthma,,,Added,mometasone + formoterol,"['formoterol', 'mometasone + formoterol', '+', 'mometasone']"
morphine,Opioid analgesics,"Oral > Liquid: 10 mg per 5 mL (morphine hydrochloride or morphine sulfate)
Oral > Solid: 10 mg immediate release (morphine sulfate); 10 to 200 mg slow release (morphine hydrochloride or morphine sulfate)
Oral > Other: 20 to 200 mg slow release granules to mix with water (morphine sulfate)
Parenteral > General injections > unspecified: 10 mg in 1 mL ampoule (morphine hydrochloride or morphine sulfate)",Pain,N02AA01,,Added,morphine,['morphine']
morphine,Preoperative medication and sedation for short-term procedures,Parenteral > General injections > IV: 10 mg in 1 mL ampoule (morphine hydrochloride or morphine sulfate),Opioids or related analgesics and agents affecting opioid receptors,N02AA01,,Added,morphine,['morphine']
moxifloxacin,Antituberculosis medicines,"Oral > Solid > dispersible tablet: 100 mg
Oral > Solid > tablet: 400 mg",Multi-drug resistant Mycobacterium tuberculosis,J01MA14,,Added,moxifloxacin,['moxifloxacin']
moxifloxacin,Antituberculosis medicines,"Oral > Solid > dispersible tablet: 100 mg
Oral > Solid > tablet: 400 mg",Tuberculosis,J01MA14,,Added,moxifloxacin,['moxifloxacin']
multiple micronutrient powder,Vitamins and minerals,"Sachets containing:
- iron (elemental) 12.5 mg (as coated ferrous fumarate)
- zinc (elemental) 5 mg 
- vitamin A 300 micrograms
- with or without other micronutrients at recommended daily values",Iron deficiency anaemia,A11AA01,,Added,multiple micronutrient powder,"['powder', 'multiple', 'micronutrient', 'multiple micronutrient powder']"
multiple micronutrient supplement,Other medicines administered to the mother,"Tablet containing: 
Vit A: 800 mcg retinol activity equivalent
Vit C: 70 mg
Vit D: 5 mcg (200 IU)
Vit E: 10 mg alpha tocopherol equivalent
Vit B1: 1.4 mg
Vit B2: 1.4 mg
Vit B3: 18 mg niacin equivalent
Vit B6: 1.9 mg
Folic acid: 400 mcg
Vit B12: 2.6 mcg
Iron: 30 mg
Iodine: 150 mcg
Zinc: 15 mg
Selenium: 65 mcg
Copper: 2 mg",Maternal care for other specified conditions predominantly related to pregnancy,A11AA01,,Added,multiple micronutrient supplement,"['multiple', 'supplement', 'micronutrient', 'multiple micronutrient supplement']"
mumps vaccine,Recommendations for immunization programmes with certain characteristics,All vaccines should comply with the WHO requirements for biological substances.,Need for immunization against mumps alone,J07BE01,,Added,mumps vaccine,"['vaccine', 'mumps vaccine', 'mumps']"
mupirocin,Dermatological medicines > Anti-infective medicines,"Local > Topical > Cream: 2% (as mupirocin calcium)
Local > Topical > Ointment: 2%",Superficial bacterial folliculitis,D06AX09,,Added,mupirocin,['mupirocin']
mupirocin,Dermatological medicines > Anti-infective medicines,"Local > Topical > Cream: 2% (as mupirocin calcium)
Local > Topical > Ointment: 2%",Impetigo,D06AX09,,Added,mupirocin,['mupirocin']
nadroparin,Medicines affecting coagulation,,Acute ischaemic heart disease,,,Added,nadroparin,['nadroparin']
nadroparin,Medicines affecting coagulation,,Venous thromboembolism,,,Added,nadroparin,['nadroparin']
naloxone,Antidotes and other substances used in poisonings > Specific,Parenteral > General injections > unspecified: 400 µg per 1 mL in ampoule (naloxone hydrochloride),Unintentional exposure to or harmful effects of opioids or related analgesics,V03AB15,,Added,naloxone,['naloxone']
naltrexone,Medicines for alcohol use disorders,"Parenteral > General injections > IM: 380 mg in vial (extended-release)
Oral > Solid > tablet: 50 mg",Disorders due to use of alcohol,N07BB04,,Added,naltrexone,['naltrexone']
natamycin,Ophthalmological preparations > Anti-infective agents,Local > Ophthalmological > Suspension: 5% eye drops,Infectious keratitis,S01AA10,,Added,natamycin,['natamycin']
neostigmine,Muscle relaxants (peripherally-acting) and cholinesterase inhibitors,"Oral > Solid: 15 mg (neostigmine bromide)
Parenteral > General injections > unspecified: 0.5 mg per  mL in 1 mL ampoule (neostigmine metilsulfate); 2.5 mg per  mL in 1 mL ampoule (neostigmine metilsulfate)",Myasthenia gravis,N07AA01,,Added,neostigmine,['neostigmine']
neostigmine,Muscle relaxants (peripherally-acting) and cholinesterase inhibitors,"Oral > Solid: 15 mg (neostigmine bromide)
Parenteral > General injections > unspecified: 0.5 mg per  mL in 1 mL ampoule (neostigmine metilsulfate); 2.5 mg per  mL in 1 mL ampoule (neostigmine metilsulfate)",Anticholinesterase reversible,N07AA01,,Added,neostigmine,['neostigmine']
netilmicin,Ophthalmological preparations > Anti-infective agents,,Other specified conjunctivitis,,,Added,netilmicin,['netilmicin']
netilmicin,Ophthalmological preparations > Anti-infective agents,,Infectious blepharitis,,,Added,netilmicin,['netilmicin']
nevirapine,Antiretrovirals > Non-nucleoside reverse transcriptase inhibitors,"Oral > Liquid: 50 mg per 5 mL
Oral > Solid > dispersible tablet: 50 mg
Oral > Solid > tablet: 200 mg","Human immunodeficiency virus disease without mention of associated disease or condition, clinical stage unspecified",J05AG01,,Added,nevirapine,['nevirapine']
niclosamide,Intestinal anthelminthics,Oral > Solid: 500 mg tablet (chewable),Hymenolepiasis,P02DA01,,Added,niclosamide,['niclosamide']
niclosamide,Intestinal anthelminthics,Oral > Solid: 500 mg tablet (chewable),Diphyllobothriasis,P02DA01,,Added,niclosamide,['niclosamide']
niclosamide,Intestinal anthelminthics,Oral > Solid: 500 mg tablet (chewable),Taeniasis due to Taenia saginata,P02DA01,,Added,niclosamide,['niclosamide']
niclosamide,Intestinal anthelminthics,Oral > Solid: 500 mg tablet (chewable),Taeniasis due to Taenia solium,P02DA01,,Added,niclosamide,['niclosamide']
nicotinamide,Vitamins and minerals,Oral > Solid: 50 mg,Pellagra,A11HA01,,Added,nicotinamide,['nicotinamide']
nicotine replacement therapy,Medicines for nicotine use disorders,"Local > Topical > Transdermal patch: 5 to 30 mg per 16 hour; 7 to 21 mg per 24 hour
Oral > Solid > lozenge: 2 mg; 4 mg lozenge
Local > Buccal > Oral spray: 1 mg per  actuation
Local > Buccal > Chewing gum: 2 mg; 4 mg",Nicotine dependence,N07BA01,,Added,nicotine replacement therapy,"['nicotine replacement therapy', 'nicotine', 'therapy', 'replacement']"
nifedipine,Antioxytocics (tocolytics),Oral > Solid: 10 mg (immediate-release),Preterm labour without delivery,C08CA05,,Added,nifedipine,['nifedipine']
nifurtimox,American trypanosomiasis,Oral > Solid > tablet: 30 mg (scored); 120 mg (scored),Chagas disease,P01CC01,,Added,nifurtimox,['nifurtimox']
nifurtimox,Medicines for the treatment of 2nd stage African trypanosomiasis,Oral > Solid > tablet: 30 mg (scored); 120 mg (scored),African trypanosomiasis,P01CC01,,Added,nifurtimox,['nifurtimox']
nilotinib,Targeted therapies,Oral > Solid > capsule: 150 mg; 200 mg,"Chronic myeloid leukaemia, not elsewhere classified",L01EA03,,Added,nilotinib,['nilotinib']
nilutamide,Hormones and antihormones,,Malignant neoplasms of prostate,,,Added,nilutamide,['nilutamide']
nitrofurantoin,Access group antibiotics,"Oral > Liquid: 25 mg per 5 mL oral liquid
Oral > Solid > dosage form: 100 mg; 50 mg",Infectious cystitis,J01XE01,,Added,nitrofurantoin,['nitrofurantoin']
nitrous oxide,General anaesthetics and oxygen > Inhalational medicines,Respiratory > Inhalation: ,Anaesthetics and therapeutic gases,N01AX13,,Added,nitrous oxide,"['nitrous oxide', 'oxide', 'nitrous']"
nivolumab,Immunomodulators,Parenteral > General injections > IV: 10 mg per  mL concentrate solution for infusion,Melanoma of skin,L01FF01,,Added,nivolumab,['nivolumab']
norethisterone,Progestogens,"Oral > Solid: 5 mg
",Excessive menstruation with irregular cycle,,,Added,norethisterone,['norethisterone']
norethisterone enantate,Injectable hormonal contraceptives,Parenteral > General injections > IM: 200 mg per  mL in 1 mL ampoule oily solution,Contact with health services for reasons associated with reproduction,G03AC01,,Added,norethisterone enantate,"['enantate', 'norethisterone', 'norethisterone enantate']"
normal immunoglobulin,Human immunoglobulins,"Parenteral > General injections > IV: 5% protein solution; 10% protein solution
Parenteral > General injections > IM: 16% protein solution
Parenteral > General injections > SC: 15% protein solution; 16% protein solution",Primary immunodeficiencies,J06BA02,,Added,normal immunoglobulin,"['normal immunoglobulin', 'normal', 'immunoglobulin']"
normal immunoglobulin,Human immunoglobulins,"Parenteral > General injections > IV: 5% protein solution; 10% protein solution
Parenteral > General injections > IM: 16% protein solution
Parenteral > General injections > SC: 15% protein solution; 16% protein solution",Langerhans cell histiocytosis,J06BA02,,Added,normal immunoglobulin,"['normal immunoglobulin', 'normal', 'immunoglobulin']"
normal immunoglobulin,Human immunoglobulins,"Parenteral > General injections > IV: 5% protein solution; 10% protein solution
Parenteral > General injections > IM: 16% protein solution
Parenteral > General injections > SC: 15% protein solution; 16% protein solution",Mucocutaneous lymph node syndrome,J06BA02,,Added,normal immunoglobulin,"['normal immunoglobulin', 'normal', 'immunoglobulin']"
nystatin,Antifungal medicines,"Oral > Liquid: 100000 IU per  mL
Local > Topical > Other: 100000 IU pessary
Oral > Solid > dosage form: 500000 IU
Oral > Solid > lozenge: 100000 IU",Candidosis,A07AA02,,Added,nystatin,['nystatin']
octreotide,Medicines for disorders of the pituitary hormone system,"Parenteral > General injections > IM: 20 mg in vial (modified-release, as acetate) plus diluent
Parenteral > General injections > SC: 0.05 mg per  mL in 1 mL vial (immediate-release, as acetate); 0.1 mg per  mL in 1 mL vial (immediate-release, as acetate); 0.5 mg per  mL in 1 mL vial (immediate-release, as acetate)",Acromegaly or pituitary gigantism,H01CB02,,Added,octreotide,['octreotide']
ofloxacin,"Ear, nose and throat medicines [c]",,Infectious diseases of external ear,,,Added,ofloxacin,['ofloxacin']
ofloxacin,Ophthalmological preparations > Anti-infective agents,Local > Ophthalmological > Solution (eye drops): 0.3%,Other specified conjunctivitis,S01AE01,,Added,ofloxacin,['ofloxacin']
ofloxacin,Ophthalmological preparations > Anti-infective agents,Local > Ophthalmological > Solution (eye drops): 0.3%,Infectious keratitis,S01AE01,,Added,ofloxacin,['ofloxacin']
olanzapine,Medicines for psychotic disorders,"
Parenteral > General injections > IM: 10 mg in vial powder for injection",Schizophrenia or other primary psychotic disorders,,,Added,olanzapine,['olanzapine']
olanzapine,Medicines for psychotic disorders,"
Parenteral > General injections > IM: 10 mg in vial powder for injection",Schizophrenia or other primary psychotic disorders,N05AH03,,Added,olanzapine,['olanzapine']
omeprazole,Antiulcer medicines,"Oral > Liquid: 20 mg powder for oral liquid; 40 mg powder for oral liquid
Oral > Solid: 10 mg; 20 mg; 40 mg
Parenteral > General injections > IV: 40 mg in vial","Peptic ulcer, site unspecified",A02BC01,,Added,omeprazole,['omeprazole']
omeprazole,Antiulcer medicines,"Oral > Liquid: 20 mg powder for oral liquid; 40 mg powder for oral liquid
Oral > Solid: 10 mg; 20 mg; 40 mg
Parenteral > General injections > IV: 40 mg in vial",Gastro-oesophageal reflux disease,A02BC01,,Added,omeprazole,['omeprazole']
omeprazole,Antiulcer medicines,"Oral > Liquid: 20 mg powder for oral liquid; 40 mg powder for oral liquid
Oral > Solid: 10 mg; 20 mg; 40 mg
Parenteral > General injections > IV: 40 mg in vial",Gastrointestinal bleeding,A02BC01,,Added,omeprazole,['omeprazole']
ondansetron,Medicines for other common symptoms in palliative care,"Parenteral > General injections > IV: 2 mg per  mL in 2 mL ampoule (ondansetron base, as hydrochloride)
Oral > Liquid: 4 mg per 5 mL (ondansetron base)
Oral > Solid: 4 mg (ondansetron base); 8 mg (ondansetron base)",Palliative care,A04AA01,,Added,ondansetron,['ondansetron']
ondansetron,Antiemetic medicines,"Parenteral > General injections > IV: 2 mg per  mL in 2 mL ampoule (ondansetron base, as hydrochloride)
Oral > Liquid: 4 mg per 5 mL (ondansetron base)
Oral > Solid: 4 mg (ondansetron base); 8 mg (ondansetron base); 24 mg (ondansetron base)",Nausea or vomiting,A04AA01,,Added,ondansetron,['ondansetron']
oral rehydration salts,Oral rehydration,"Powder for dilution in 200 mL, 500 mL, 1 L:

- glucose 75 mEq
- sodium 75 mEq or mmol/L
- chloride 65 mEq or mmol/L
- potassium 20 mEq or mmol/L
- citrate 10 mmol/L
- osmolarity 245 mOsm/L
- glucose 13.5 g/L
- sodium chloride 2.6 g/L
- potassium chloride 1.5 g/L
- trisodium citrate dihydrate 2.9 g/L",Diarrhoea,A07CA,,Added,oral rehydration salts,"['oral rehydration salts', 'salts', 'rehydration', 'oral']"
